set_id,description,price,img_url_1,img_url_2,color,category
20,Gold Kundan Aqua Stone Floral Pendant Necklace Set,1475.00,https://img.faballey.com/Images/Product/ZNS00062/1.jpg,https://img.faballey.com/images/Product/ZNS00062/2.jpg,Blue ,necklace-sets
21,Gold Kundan Blue Bead Pearl Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00042/1.jpg,https://img.faballey.com/images/Product/ZNS00042/2.jpg,green,necklace-sets
22,Gold Kundan Multi Pearl String Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00048/1.jpg,https://img.faballey.com/images/Product/ZNS00048/2.jpg,white,necklace-sets
23,Gold Textured Contemporary Choker Necklace Set,1100.00,https://img.faballey.com/Images/Product/ZNS00070/1.jpg,https://img.faballey.com/images/Product/ZNS00070/2.jpg,Gold,necklace-sets
24,Gold Kundan Blue Bead Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00041/1.jpg,https://img.faballey.com/images/Product/ZNS00041/2.jpg,blue,necklace-sets
25,Gold Kundan Green Bead String Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00049/1.jpg,https://img.faballey.com/images/Product/ZNS00049/2.jpg,green,necklace-sets
26,Gold Kundan Cascade Earring Necklace Set,2250.00,https://img.faballey.com/Images/Product/ZNS00039/1.jpg,https://img.faballey.com/images/Product/ZNS00039/2.jpg,white,necklace-sets
27,Gold Kundan Earring Pearl String Pendant Necklace Set,1500.00,https://img.faballey.com/Images/Product/ZNS00008/1.jpg,https://img.faballey.com/images/Product/ZNS00008/2.jpg,white,necklace-sets
28,Gold Kundan Dual Pearl Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00052/1.jpg,https://img.faballey.com/images/Product/ZNS00052/2.jpg,white,necklace-sets
29,Gold Kundan Green Drop Pearl Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00047/1.jpg,https://img.faballey.com/images/Product/ZNS00047/2.jpg,green,necklace-sets
30,Silver Oxidized Green Stone Star Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00021/1.jpg,https://img.faballey.com/images/Product/ZNS00021/2.jpg,green,necklace-sets
31,Gold Kundan Pear Dainty Drop Earrings  Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00046/1.jpg,https://img.faballey.com/images/Product/ZNS00046/2.jpg,white,necklace-sets
32,Gold Round Kundan Pearl Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00035/1.jpg,https://img.faballey.com/images/Product/ZNS00035/2.jpg,white,necklace-sets
33,Gold Kundan Mangtika Earring Necklace Set,3500.00,https://img.faballey.com/Images/Product/ZNS00002/1.jpg,https://img.faballey.com/images/Product/ZNS00002/2.jpg,white,necklace-sets
1,Gold Red Kundan Meena Sunburst Ring,600.00,https://img.faballey.com/Images/Product/ZRI00040/1.jpg,https://img.faballey.com/images/Product/ZRI00040/2.jpg,RED,rings
2,Gold Green Kundan Meena Circular Ring,600.00,https://img.faballey.com/Images/Product/ZRI00039/1.jpg,https://img.faballey.com/images/Product/ZRI00039/2.jpg,Green,rings
1,Gold Purple Stone Pendant Necklace,700.00,https://img.faballey.com/Images/Product/ZNE00011/1.jpg,https://img.faballey.com/images/Product/ZNE00011/2.jpg,blue,necklace
2,Gold Stacked Pendant Necklace with Black Drop,550.00,https://img.faballey.com/Images/Product/ZNE00008/1.jpg,https://img.faballey.com/images/Product/ZNE00008/2.jpg,black,necklace
